Faculty Name,Link to Profile
Har Amrit Singh Sandhu,http://pec.ac.in/har-amrit-singh-sandhu
Kamal Kumar,http://pec.ac.in/kamal-kumar
Mohammad Afaq Alam,http://pec.ac.in/mohammad-afaq-alam
Mohit Kumar,http://pec.ac.in/mohit-kumar
Pardeep Kumar Gupta,http://pec.ac.in/pardeep-kumar-gupta
R R Singh,http://pec.ac.in/r-r-singh
R.K. Khitoliya,http://pec.ac.in/rk-khitoliya
Roshan Lal,http://pec.ac.in/roshan-lal
S K Singh,http://pec.ac.in/s-k-singh
S.K. Sharma,http://pec.ac.in/sk-sharma
Sarita Singla,http://pec.ac.in/sarita-singla
Shakti Kumar,http://pec.ac.in/shakti-kumar
Siby John,http://pec.ac.in/siby-john
Sovina Sood,http://pec.ac.in/sovina-sood
Surender Kumar Verma,http://pec.ac.in/surender-kumar-verma
Tripta Kumari Goyal,http://pec.ac.in/tripta-kumari-goyal
Umesh Sharma,http://pec.ac.in/umesh-sharma
Yatindra Kumar,http://pec.ac.in/yatindra-kumar
Achitanand Dubey,http://pec.ac.in/achitanand-dubey
Alakesh Manna,http://pec.ac.in/alakesh-manna
Ankit Yadav,http://pec.ac.in/ankit-yadav
Chanderkant Susheel,http://pec.ac.in/me/chanderkant-susheel
D R Prajapati,http://pec.ac.in/d-r-prajapati
Gurjeet Singh,http://pec.ac.in/gurjeet-singh
Kamal Kumar,http://pec.ac.in/kamal-kumar-0
Mahesh Kumar Yadav,http://pec.ac.in/me/mahesh-kumar-yadav
P S Satsangi,http://pec.ac.in/p-s-satsangi
Perminderjit Singh,http://pec.ac.in/perminderjit-singh
Rajesh Kumar Kanda,http://pec.ac.in/rajesh-kumar-kanda
Rakesh Kumar Dang,http://pec.ac.in/rakesh-kumar-dang
S K Soni,http://pec.ac.in/s-k-soni
Sandeep Selodkar,http://pec.ac.in/sandeep-selodkar
Sanjay Kumar Mangal,http://pec.ac.in/sanjay-kumar-mangal
Sanjeev Kumar,http://pec.ac.in/sanjeev-kumar-0
Sarabjit Singh,http://pec.ac.in/sarabjit-singh
Sushant Samir,http://pec.ac.in/sushant-samir
Tejbir Kaur,http://pec.ac.in/tejbir-kaur
